Date,Game,Earnings,Players,Tournaments,ReleaseDate,TotalEarnings,TotalPlayers,TotalTournaments,Earnings_YoY_Growth,Players_YoY_Growth,Tournaments_YoY_Growth,Release_Decade,Genre_Battle Royale,Genre_Collectible Card Game,Genre_Fighting Game,Genre_First-Person Shooter,Genre_Multiplayer Online Battle Arena,Genre_Music / Rhythm Game,Genre_Puzzle Game,Genre_Racing,Genre_Role-Playing Game,Genre_Sports,Genre_Strategy,Genre_Third-Person Shooter,ReleaseYear,Predicted_Earnings
2002-03-01,Age of Empires II,1000.0,1,1,1999-01-01,3253232.59,1994,1613,0.0,0.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-6364.917397283056
2002-04-01,StarCraft: Brood War,20338.4,6,2,1998-01-01,7548789.3,658,536,-65.85715113092395,-75.0,-33.333333333333336,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,29491.13829893948
2002-04-01,Age of Empires II,5500.0,4,2,1999-01-01,3253232.59,1994,1613,450.0,300.0,100.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-48850.76798758025
2002-04-01,Super Smash Bros. Melee,0.0,3,1,2001-01-01,4061572.65,1963,2695,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,True,False,False,False,False,False,False,False,False,False,2001,-28275.366752338625
2002-05-01,Counter-Strike,18411.62,42,1,2000-01-01,13596060.66,4264,1023,1678.9004830917872,147.05882352941177,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,87142.17732370096
2002-05-01,Quake III Arena,11785.22,17,2,1999-01-01,1197552.96,308,114,-74.37995652173913,112.5,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,-8224.542507665092
2002-05-01,StarCraft: Brood War,4913.16,1,1,1998-01-01,7548789.3,658,536,-75.8429374975416,-83.33333333333334,-50.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,28581.95955148255
2002-05-01,Aliens versus Predator 2,3500.0,1,1,2001-01-01,43500.0,2,2,-91.25,0.0,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2001,-18081.260286139728
2002-05-01,Age of Empires II,2000.0,4,2,1999-01-01,3253232.59,1994,1613,-63.63636363636363,0.0,0.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-14801.856020279762
2002-06-01,StarCraft: Brood War,28808.28,19,2,1998-01-01,7548789.3,658,536,486.3493149012041,1800.0,100.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,3373.9949815848377
2002-06-01,Age of Empires II,1000.0,1,1,1999-01-01,3253232.59,1994,1613,-50.0,-75.0,-50.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-11271.913226535118
2002-06-01,Super Smash Bros. Melee,40.0,3,1,2001-01-01,4061572.65,1963,2695,778.1566668158872,0.0,0.0,2000,False,False,True,False,False,False,False,False,False,False,False,False,2001,38484.43605159614
2002-07-01,Counter-Strike,112100.15,169,3,2000-01-01,13596060.66,4264,1023,508.8554402056962,302.38095238095235,200.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,264124.2234274503
2002-07-01,Age of Empires II,16450.0,9,4,1999-01-01,3253232.59,1994,1613,1545.0,800.0,300.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-37396.32631780751
2002-07-01,Quake III Arena,9540.3,12,1,1999-01-01,1197552.96,308,114,-19.04860494755295,-29.411764705882348,-50.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,2655.128427872311
2002-07-01,StarCraft: Brood War,2000.0,3,1,1998-01-01,7548789.3,658,536,-93.05755150949658,-84.21052631578947,-50.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1998,28581.95955148255
2002-08-01,Return to Castle Wolfenstein,53000.0,30,1,2001-01-01,113424.3,50,3,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,False,True,False,False,False,False,False,False,False,False,2001,45899.24662087035
2002-08-01,Quake III Arena,40000.0,5,1,1999-01-01,1197552.96,308,114,319.2740270222111,-58.33333333333333,0.0,2000,False,False,False,True,False,False,False,False,False,False,False,False,1999,35658.357749814975
2002-08-01,Age of Empires II,8850.0,14,8,1999-01-01,3253232.59,1994,1613,-46.200607902735555,55.55555555555556,100.0,2000,False,False,False,False,False,False,False,False,False,False,True,False,1999,-52571.8876730501
2002-08-01,Capcom vs. SNK 2,0.0,3,1,2001-01-01,24976.79,38,22,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,True,False,False,False,False,False,False,False,False,False,2001,8297.889079110151
2002-08-01,Marvel vs. Capcom 2,0.0,3,1,2000-01-01,39279.73,68,29,778.1566668158872,0.0,0.0,2000,False,False,True,False,False,False,False,False,False,False,False,False,2000,11752.447654206071
2002-08-01,Super Street Fighter II Turbo,0.0,3,1,1994-01-01,25646.29,114,51,778.1566668158872,0.0,0.0,2000,False,False,True,False,False,False,False,False,False,False,False,False,1994,11752.447654206071
2002-09-01,WarCraft III,31932.4,16,1,2002-01-01,6273482.33,752,1533,778.1566668158872,65.64134107666415,25.09729427253083,2000,False,False,False,False,False,False,False,False,False,False,True,False,2002,29114.55492925912
2002-09-01,Counter-Strike,31856.64,21,2,2000-01-01,13596060.66,4264,1023,-71.58198271813195,-87.57396449704143,-33.333333333333336,2000,False,False,False,True,False,False,False,False,False,False,False,False,2000,-29395.40846030649
