Date,Game,Earnings,Players,Tournaments,ReleaseDate,Genre,TotalEarnings,TotalPlayers,TotalTournaments,Earnings_YoY_Growth,Players_YoY_Growth,Tournaments_YoY_Growth,Release_Decade
2001-11-01,Quake III Arena,2619.76,8,1,1999-01-01,First-Person Shooter,1197552.96,308,114,-90.64371428571428,-46.666666666666664,-50.0,2000
2001-12-01,Counter-Strike,220000.0,109,2,2000-01-01,First-Person Shooter,13596060.66,4264,1023,4098.865924485304,2080.0,100.0,2000
2001-12-01,Age of Empires II,61000.0,20,5,1999-01-01,Strategy,3253232.59,1994,1613,-35.78947368421053,25.0,400.0,2000
2001-12-01,StarCraft: Brood War,59568.55,24,3,1998-01-01,Strategy,7548789.3,658,536,356.198305967406,500.0,200.0,2000
2001-12-01,FIFA 2001,46000.0,9,2,2000-01-01,Sports,46000.0,9,2,,,,2000
2001-12-01,Quake III Arena,46000.0,8,2,1999-01-01,First-Person Shooter,1197552.96,308,114,1655.8860353620175,0.0,100.0,2000
2001-12-01,Unreal Tournament,46000.0,9,2,1999-01-01,First-Person Shooter,89000.0,14,5,,,,2000
2001-12-01,Aliens versus Predator 2,40000.0,1,1,2001-01-01,First-Person Shooter,43500.0,2,2,,,,2000
2002-01-01,Age of Empires II,1000.0,1,1,1999-01-01,Strategy,3253232.59,1994,1613,-98.36065573770492,-95.0,-80.0,2000
2002-02-01,Age of Empires II,1000.0,1,1,1999-01-01,Strategy,3253232.59,1994,1613,0.0,0.0,0.0,2000
2002-03-01,Counter-Strike,1035.0,17,1,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-99.52954545454546,-84.40366972477065,-50.0,2000
2002-03-01,Age of Empires II,1000.0,1,1,1999-01-01,Strategy,3253232.59,1994,1613,0.0,0.0,0.0,2000
2002-04-01,StarCraft: Brood War,20338.4,6,2,1998-01-01,Strategy,7548789.3,658,536,-65.85715113092395,-75.0,-33.333333333333336,2000
2002-04-01,Age of Empires II,5500.0,4,2,1999-01-01,Strategy,3253232.59,1994,1613,450.0,300.0,100.0,2000
2002-04-01,Super Smash Bros. Melee,0.0,3,1,2001-01-01,Fighting Game,4061572.65,1963,2695,,,,2000
2002-05-01,Counter-Strike,18411.62,42,1,2000-01-01,First-Person Shooter,13596060.66,4264,1023,1678.9004830917872,147.05882352941177,0.0,2000
2002-05-01,Quake III Arena,11785.22,17,2,1999-01-01,First-Person Shooter,1197552.96,308,114,-74.37995652173913,112.5,0.0,2000
2002-05-01,StarCraft: Brood War,4913.16,1,1,1998-01-01,Strategy,7548789.3,658,536,-75.8429374975416,-83.33333333333334,-50.0,2000
2002-05-01,Aliens versus Predator 2,3500.0,1,1,2001-01-01,First-Person Shooter,43500.0,2,2,-91.25,0.0,0.0,2000
2002-05-01,Age of Empires II,2000.0,4,2,1999-01-01,Strategy,3253232.59,1994,1613,-63.63636363636363,0.0,0.0,2000
2002-06-01,StarCraft: Brood War,28808.28,19,2,1998-01-01,Strategy,7548789.3,658,536,486.3493149012041,1800.0,100.0,2000
2002-06-01,Age of Empires II,1000.0,1,1,1999-01-01,Strategy,3253232.59,1994,1613,-50.0,-75.0,-50.0,2000
2002-06-01,Super Smash Bros. Melee,40.0,3,1,2001-01-01,Fighting Game,4061572.65,1963,2695,inf,0.0,0.0,2000
2002-07-01,Counter-Strike,112100.15,169,3,2000-01-01,First-Person Shooter,13596060.66,4264,1023,508.8554402056962,302.38095238095235,200.0,2000
2002-07-01,Age of Empires II,16450.0,9,4,1999-01-01,Strategy,3253232.59,1994,1613,1545.0,800.0,300.0,2000
2002-07-01,Quake III Arena,9540.3,12,1,1999-01-01,First-Person Shooter,1197552.96,308,114,-19.04860494755295,-29.411764705882348,-50.0,2000
2002-07-01,StarCraft: Brood War,2000.0,3,1,1998-01-01,Strategy,7548789.3,658,536,-93.05755150949658,-84.21052631578947,-50.0,2000
2002-08-01,Return to Castle Wolfenstein,53000.0,30,1,2001-01-01,First-Person Shooter,113424.3,50,3,,,,2000
2002-08-01,Quake III Arena,40000.0,5,1,1999-01-01,First-Person Shooter,1197552.96,308,114,319.2740270222111,-58.33333333333333,0.0,2000
2002-08-01,Age of Empires II,8850.0,14,8,1999-01-01,Strategy,3253232.59,1994,1613,-46.200607902735555,55.55555555555556,100.0,2000
2002-08-01,Capcom vs. SNK 2,0.0,3,1,2001-01-01,Fighting Game,24976.79,38,22,,,,2000
